2026-08-11 23:43:19,735 | INFO | builtins | Scenario PASSED: Search for Rice
2026-08-11 23:43:19,855 | INFO | builtins | Browser closed: Search for Rice
2026-08-11 23:43:19,856 | INFO | builtins | -----------------------------------
2026-08-11 23:43:19,856 | INFO | builtins | Starting Scenario: Search for Biscuit
2026-08-11 23:43:21,622 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:43:37,509 | ERROR | builtins | Scenario FAILED: Search for Biscuit
2026-08-11 23:43:37,650 | INFO | builtins | Failure screenshot captured for: Search for Biscuit
2026-08-11 23:43:37,657 | INFO | builtins | Browser closed: Search for Biscuit
2026-08-11 23:43:37,657 | INFO | builtins | -----------------------------------
2026-08-11 23:43:37,657 | INFO | builtins | Starting Scenario: Search for Egg
2026-08-11 23:43:39,570 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:43:55,478 | ERROR | builtins | Scenario FAILED: Search for Egg
